id_x,cliente_id,data_pedido,status,valor_total,canal_venda,cupom_desconto,id_y,nome,email,cidade,estado,data_cadastro,segmento,canal_aquisicao
1,682,2024-05-18,em_transito,396.51,marketplace,sim,682,Yara Figueiredo,yara.figueiredo192@yahoo.com.br,Diadema,SP,2023-09-27,B2C,redes_sociais
2,7,2023-08-12,entregue,74.89,site,não,7,Fernanda Cavalcanti,fernanda.cavalcanti850@yahoo.com.br,Olinda,PE,2024-01-06,B2C,orgânico
3,1195,2024-02-17,entregue,41.93,app,não,1195,Paulo Figueiredo,paulo.figueiredo348@gmail.com,Rio de Janeiro,RJ,2024-04-09,B2C,paid_search
4,2328,2023-05-05,entregue,2001.85,app,sim,2328,Xavier Lima,xavier.lima998@outlook.com,Santos,SP,2024-02-26,B2C,indicação
5,379,2024-10-04,entregue,1251.35,site,não,379,Gabriel Silva,gabriel.silva265@gmail.com,São Gonçalo,RJ,2024-06-06,B2C,paid_search
6,2384,2024-08-14,entregue,1799.41,marketplace,sim,2384,Juliana Ribeiro,juliana.ribeiro514@yahoo.com.br,Olinda,PE,2023-02-13,B2C,redes_sociais
7,1380,2023-03-26,entregue,2499.94,marketplace,não,1380,Ana Gomes,ana.gomes257@terra.com.br,São Gonçalo,RJ,2024-04-26,B2C,indicação
8,95,2024-08-26,entregue,571.22,marketplace,não,95,Letícia Cunha,leticia.cunha364@hotmail.com,Natal,RN,2023-12-15,B2C,indicação
9,2962,2024-04-01,entregue,240.35,site,sim,2962,Beatriz Almeida,beatriz.almeida190@yahoo.com.br,Aparecida de Goiânia,GO,2024-05-24,B2C,paid_search
10,2646,2023-09-23,entregue,1905.3,app,não,2646,Yasmin Rodrigues,yasmin.rodrigues130@uol.com.br,Natal,RN,2024-08-31,B2C,orgânico
11,75,2023-09-24,entregue,926.66,marketplace,sim,75,Wagner Carvalho,wagner.carvalho425@gmail.com,Joinville,SC,2023-12-05,B2C,redes_sociais
12,1692,2024-04-02,entregue,1449.64,app,não,1692,Mariana Cardoso,mariana.cardoso456@terra.com.br,Macapá,AP,2023-05-10,B2C,indicação
13,2884,2024-02-19,entregue,1798.8,app,sim,2884,Paulo Neves,paulo.neves545@outlook.com,Betim,MG,2024-10-24,B2C,orgânico
